0x5198,    0x40d1,    0x39eb,    0x601c,    0x4e9b,    0x2cf2,    0x44a0,    0x3743,    0x3f5f
0x5178,    0x40cd,    0x39d2,    0x61e5,    0x4e4b,    0x2cd4,    0x44de,    0x3721,    0x3f56
0x519d,    0x40cc,    0x39c9,    0x60e8,    0x4e40,    0x2cda,    0x3a60,    0x3718,    0x3f53
0x5195,    0x40cb,    0x39e0,    0x60f9,    0x4e51,    0x2cf1,     0xa41,    0x370d,    0x3f54
0x51b4,    0x40c4,    0x39f0,    0x600c,    0x4e56,    0x2ce8,     0xa0e,    0x3713,    0x3f43
0x519c,    0x40c9,    0x39f6,    0x61fe,    0x4e2e,    0x2cee,    0x4464,    0x370e,    0x3f5f
0x51d9,    0x40e0,    0x393c,    0x601b,    0x4e27,    0x2cea,    0x44ce,    0x3720,    0x3f5a
0x51d0,    0x40ec,    0x3a5c,    0x6110,    0x4ef5,    0x2c00,    0x44f8,    0x371f,    0x3f69
0x51ca,    0x40ea,    0x3a65,    0x6119,     0x99e,    0x2d03,    0x44f3,    0x371b,    0x3f66
0x51db,    0x40f7,    0x3a86,    0x612a,     0x95c,    0x2df8,    0x44f9,    0x3721,    0x3f69
0x51de,    0x40ed,    0x3a9a,    0x6114,     0x937,    0x2cef,    0x44f4,    0x3729,    0x3f7a
0x51e4,    0x40fa,    0x3ab9,    0x612b,     0x92e,    0x2cf4,    0x44e5,    0x3723,    0x3f83
0x51bd,    0x40e3,    0x3aa1,    0x611c,     0x947,    0x2ce8,    0x44da,    0x3727,    0x3f9a
0x51bf,    0x40e0,    0x3a72,    0x612f,    0x4d2d,    0x2ce7,    0x44cc,    0x3721,    0x3fa7
0x51bf,    0x40ea,    0x3a77,    0x6111,    0x4ee2,    0x2cf0,    0x44e9,    0x37f7,    0x3f8c
0x51d4,    0x40f1,    0x3a6d,    0x615d,    0x4e2b,    0x2c04,    0x44e0,    0x3666,    0x3d12
0x51e6,    0x40e4,    0x3a60,    0x6174,    0x4ff8,    0x2d0d,    0x44e3,     0xa16,    0x3df8
0x51ce,    0x40f7,    0x3a2c,    0x6117,    0x4edd,    0x2dfd,    0x44d3,     0xae5,    0x3cca
0x51dd,    0x40fe,    0x3a3c,    0x6221,    0x4ec3,    0x2c02,    0x44cf,     0x9ec,    0x3cb2
0x51de,    0x4006,    0x3a2b,    0x62af,    0x4ebc,    0x2dfa,    0x44d3,     0x9c1,    0x3c8e
0x51da,    0x4107,    0x3a27,    0x6227,    0x4eb3,    0x2cf5,    0x44db,    0x3654,    0x3c8d
0x51e2,    0x4106,    0x3a4d,    0x63c7,    0x4eca,    0x2c02,    0x44f1,    0x37fb,    0x3c67
0x51c9,    0x41fa,    0x3a40,    0x618c,    0x4ec3,    0x2df7,    0x44e4,    0x3714,    0x3c73
0x51d0,    0x40ee,    0x3a3b,    0x6189,    0x4ed4,    0x2c0d,    0x44ee,    0x388c,    0x3c62
0x51d1,    0x40ee,    0x3a3b,    0x6193,    0x4ed2,    0x2d02,    0x44e8,    0x3789,    0x3c54
0x51ce,    0x400e,    0x3a32,    0x6180,    0x4ee9,    0x2d1c,    0x44f5,    0x3793,    0x3c5d
0x51cc,    0x41ff,    0x3a35,    0x6161,    0x4ebd,    0x2d05,    0x44e6,    0x379b,    0x3c38
0x51d3,    0x400b,    0x3a2e,    0x6189,    0x4ed6,    0x2d0d,    0x44ef,    0x378a,    0x3c44
0x51d2,    0x411a,    0x3a3a,    0x617d,    0x4ed8,    0x2d1e,    0x44e4,    0x378f,    0x3c57
0x51d7,    0x411d,    0x3a47,    0x617c,    0x4ee0,    0x2d1c,    0x44e9,    0x3783,    0x3c40
0x51e3,    0x4101,    0x3a36,    0x615b,    0x4ed9,    0x2d21,    0x44cf,    0x3773,    0x3c36
0x51e7,    0x4103,    0x3a39,    0x619a,    0x4ee9,    0x2d25,    0x44ee,    0x3770,    0x3c42
0x51d5,    0x4114,    0x3a56,    0x6195,    0x4ef2,    0x2d10,    0x44e2,    0x3774,    0x3c46
0x51d9,    0x410e,    0x3a51,    0x619b,    0x4edf,    0x2d0c,    0x44d3,    0x3765,    0x3c48
0x51bc,    0x41ef,    0x3a51,    0x6176,    0x4ebf,    0x2dfa,    0x44d7,    0x3771,    0x3c2b
0x51bd,    0x40ec,    0x3a5d,    0x616d,    0x4ed5,    0x2c10,    0x44be,    0x3771,    0x3c1f
0x51be,    0x40d5,    0x3a4c,    0x615e,    0x4ebc,    0x2d0c,    0x44c2,    0x3780,    0x3c59
0x51cd,    0x4003,    0x3a60,    0x6142,    0x4ecf,    0x2d0c,    0x44ec,    0x3765,    0x3c39
0x51a7,    0x41ea,    0x3a3f,    0x617b,    0x4ed7,    0x2d13,    0x44cf,    0x3774,    0x3c46
0x51b5,    0x40fd,    0x3a57,    0x6177,    0x4ed2,    0x2d11,    0x44e3,    0x3770,    0x3c4c
0x51a3,    0x40e9,    0x3a4f,    0x6144,    0x4ecb,    0x2d0d,    0x44d6,    0x376c,    0x3c39
0x51aa,    0x40e3,    0x3a4d,    0x6163,    0x4edf,    0x2d14,    0x44d7,    0x3771,    0x3c31
0x51ae,    0x40e8,    0x3a50,    0x617a,    0x4ed8,    0x2d09,    0x44d8,    0x3774,    0x3c3d
0x51a6,    0x40e4,    0x3a62,    0x6175,    0x4ed8,    0x2d07,    0x44d0,    0x377a,    0x3c42
0x51a7,    0x40f2,    0x3a64,    0x617c,    0x4ede,    0x2d16,    0x44e8,    0x377d,    0x3c4b
0x5198,    0x40e4,    0x3a66,    0x6172,    0x4ee1,    0x2d0e,    0x44e1,    0x3771,    0x3c3b
0x5192,    0x40e0,    0x3a57,    0x618c,    0x4ee2,    0x2d13,    0x44de,    0x3782,    0x3c39
0x5191,    0x40de,    0x3a5d,    0x6171,    0x4ee2,    0x2d0f,    0x44db,    0x3763,    0x3c2c
0x519b,    0x40e1,    0x3a64,    0x618f,    0x4edc,    0x2d0d,    0x44e5,    0x3769,    0x3c3a
0x5174,    0x40dc,    0x3a5d,    0x6187,    0x4ed7,    0x2d06,    0x44df,    0x3776,    0x3c35
0x517d,    0x40d3,    0x3a68,    0x6197,    0x4ed6,    0x2d0c,    0x44cb,    0x3789,    0x3c34
0x518e,    0x40fc,    0x3a6b,    0x61a0,    0x4ef9,    0x2d1a,    0x44e3,    0x3774,    0x3c24
0x518d,    0x40ef,    0x3a7a,    0x61d6,    0x4e01,    0x2d3f,    0x44ef,    0x3793,    0x3c33
0x518d,    0x40ed,    0x3a7a,    0x61ce,    0x4ff0,    0x2d21,    0x44ea,    0x3790,    0x3c51
0x5197,    0x40f1,    0x3a7e,    0x61e1,    0x4ef0,    0x2d1f,    0x44f0,    0x3797,    0x3c4d
0x519e,    0x40f4,    0x3a87,    0x61cd,    0x4efa,    0x2d19,    0x44f8,    0x378f,    0x3c5e
0x5180,    0x40ec,    0x3a8d,    0x6104,    0x4e0a,    0x2d1d,    0x44f4,    0x37a3,    0x3c85
0x51a0,    0x40ff,    0x3a9e,    0x62fc,    0x4f31,    0x2d22,    0x4414,    0x3799,    0x3c7b
0x51b1,    0x40fb,    0x3aa3,    0x61e9,    0x4f25,    0x2d1b,    0x450c,    0x379a,    0x3c78
0x5194,    0x40e5,    0x3aa8,    0x61d2,    0x4f31,    0x2d21,    0x4518,    0x37aa,    0x3c1f
0x51a3,    0x4007,    0x3aab,    0x6167,    0x4f34,    0x2d30,    0x4517,    0x37a3,    0x3d63
0x51b0,    0x4109,    0x3ac0,    0x61c5,    0x4f40,    0x2d25,    0x451a,    0x3792,    0x3d98
0x51a7,    0x41ea,    0x3aab,    0x282f,    0x4f1d,    0x2d23,    0x450f,    0x379b,    0x3d1b
0x51af,    0x40f0,    0x3aae,     0xbf0,    0x4f31,    0x2d22,    0x4513,    0x37a1,    0x3e45
0x51aa,    0x400b,    0x3ac2,     0xae4,    0x4f2c,    0x2d28,    0x4515,    0x37a3,    0x3ebe
0x5191,    0x41ef,    0x3ad4,     0xace,    0x4f32,    0x2d32,    0x4513,    0x37a8,    0x3e08
0x519e,    0x4005,    0x3af7,    0x1d3c,    0x4f35,    0x2d33,    0x451a,    0x37a5,    0x3f09
0x51a1,    0x41f0,    0x3a01,     0xb7e,    0x4f41,    0x2d33,    0x451c,    0x37b2,    0x3f1a
0x51ae,    0x4016,    0x3b17,     0xb5d,    0x4f7c,    0x2d3d,    0x4528,    0x37a8,    0x3f2d
0x518f,    0x410a,    0x3b31,    0x6196,    0x4f43,    0x2d33,    0x451c,    0x37a5,    0x3f1a
0x51ad,    0x4109,    0x3b50,    0x61cf,    0x4f57,    0x2d3d,    0x451a,    0x37bd,    0x3ff3
0x519c,    0x4103,    0x3b75,    0x61f6,    0x4f65,    0x2d43,    0x4518,    0x37b3,    0x47ce
0x5188,    0x4101,    0x3ba2,    0x6115,    0x4f6e,    0x2d4a,    0x452b,    0x37bb,    0x43b7
0x5189,    0x410e,    0x3bb0,    0x6223,    0x4f5e,    0x2d44,    0x4529,    0x37c6,    0x4af7
0x5199,    0x410f,    0x3bc0,    0x6241,    0x4f5e,    0x2d4f,    0x4520,    0x37ce,    0x4797
0x51ac,    0x4111,    0x3bb7,    0x6253,    0x4f4c,    0x2d55,    0x4537,    0x37e9,    0x4746
0x5195,    0x4122,    0x3bca,    0x625f,    0x4ff0,    0x2d4a,    0x4518,    0x37e4,    0x4709
0x519e,    0x412b,    0x3be8,    0x6263,    0x4eb5,    0x2d5f,    0x4545,    0x37cf,    0x47e0
0x518a,    0x411a,    0x3b21,    0x626a,    0x4e58,    0x2d59,    0x4544,    0x37ce,    0x46db
0x5181,    0x411c,    0x3c1a,    0x626f,     0x92a,    0x2d52,    0x453c,    0x37dd,    0x46d6
0x5194,    0x4125,    0x3c11,    0x6276,     0x90e,    0x2d54,    0x4546,    0x37d7,    0x46c1
0x5191,    0x410e,    0x3ce0,    0x626a,     0x91f,    0x2d48,    0x454f,    0x37db,    0x46ab
0x5184,    0x410c,    0x3bd4,    0x627f,     0x94e,    0x2d56,    0x456f,    0x37d4,    0x46ac
0x516c,    0x4119,    0x3bb4,    0x628e,     0x98b,    0x2d54,    0x458a,    0x37db,    0x46b9
0x5189,    0x4102,    0x3b97,    0x627e,     0x9b5,    0x2d55,    0x45a6,    0x37de,    0x46bc
0x518c,    0x4119,    0x3b7f,    0x6287,    0x4ef6,    0x2d5c,    0x4521,    0x37e3,    0x46d3
0x517e,    0x4108,    0x3b74,    0x629c,    0x4e37,    0x2d53,    0x46aa,    0x37da,    0x46ce
0x5172,    0x4106,    0x3b65,    0x629a,    0x4f51,    0x2d58,    0x46e2,    0x37e6,    0x46e5
0x518c,    0x41f3,    0x3b62,    0x62a7,    0x4f37,    0x2d64,    0x470b,    0x37ec,    0x46f7
0x5192,    0x40e9,    0x3b5d,    0x62b1,    0x4f54,    0x2d6c,    0x41a3,    0x37ee,    0x46ee
0x517a,    0x40b1,    0x3b52,    0x62ba,    0x4f3d,    0x2d62,    0x4051,    0x37ec,    0x46f9
0x5182,    0x405f,    0x3b5b,    0x62cf,    0x4f5d,    0x2d64,    0x3f97,    0x37ef,    0x4602
0x5182,    0x40b0,    0x3b5b,    0x62c8,    0x4f47,    0x2d70,    0x3ed0,    0x37ee,    0x47fd
0x518f,     0x972,    0x3b51,    0x62bb,    0x4f5d,    0x2d76,    0x3d20,    0x37e8,    0x46fd
0x518e,     0x94c,    0x3b5f,    0x62d7,    0x4f65,    0x2d71,    0x3e3f,    0x37ed,    0x4612
0x518a,     0x935,    0x3b4e,    0x62cf,    0x4f66,    0x2d7e,    0x3d32,    0x37ed,    0x470b
0x5184,     0x948,    0x3b59,    0x62dd,    0x4f65,    0x2d7b,    0x3cc6,    0x37eb,    0x471e
0x518c,     0x965,    0x3b5d,    0x62e8,    0x4f69,    0x2d88,    0x3bb4,    0x37e2,    0x4730
0x517c,     0x9ae,    0x3b55,    0x62d7,    0x4f6b,    0x2d79,    0x3b91,    0x37ec,    0x4728
0x5188,     0x933,    0x3b48,    0x62ed,    0x4f70,    0x2d76,    0x3b60,    0x37f9,    0x473c
0x5187,    0x40a2,    0x3b4b,    0x62c7,    0x4f59,    0x2d5c,    0x3b1a,    0x37ee,    0x4722
0x517c,    0x40a0,    0x3b4f,    0x6204,    0x4f7d,    0x2d67,    0x3b30,    0x37ee,    0x4725
0x51a3,    0x40a4,    0x3b5f,    0x63e4,    0x4f71,    0x2d73,    0x3b2d,    0x37fb,    0x4732
